DateCollected,DateTested,Month,Day,Year,Days,Temp,Time,Rep,Bug,Alive
6/7/24,6/7/24,6,7,2024,0,0,60,1,1,Y
6/7/24,6/7/24,6,7,2024,0,0,60,1,2,Y
6/7/24,6/7/24,6,7,2024,0,0,60,1,3,Y
6/7/24,6/7/24,6,7,2024,0,0,60,1,4,Y
6/7/24,6/7/24,6,7,2024,0,0,60,1,5,Y
6/7/24,6/7/24,6,7,2024,0,0,60,1,6,Y
6/7/24,6/7/24,6,7,2024,0,0,60,1,7,Y
6/7/24,6/7/24,6,7,2024,0,0,60,1,8,Y
6/7/24,6/7/24,6,7,2024,0,0,60,1,9,Y
6/7/24,6/7/24,6,7,2024,0,0,60,1,10,Y
6/7/24,6/7/24,6,7,2024,0,0,60,2,1,Y
6/7/24,6/7/24,6,7,2024,0,0,60,2,2,Y
6/7/24,6/7/24,6,7,2024,0,0,60,2,3,Y
6/7/24,6/7/24,6,7,2024,0,0,60,2,4,Y
6/7/24,6/7/24,6,7,2024,0,0,60,2,5,Y
6/7/24,6/7/24,6,7,2024,0,0,60,2,6,Y
6/7/24,6/7/24,6,7,2024,0,0,60,2,7,Y
6/7/24,6/7/24,6,7,2024,0,0,60,2,8,Y
6/7/24,6/7/24,6,7,2024,0,0,60,2,9,Y
6/7/24,6/7/24,6,7,2024,0,0,60,2,10,Y
6/7/24,6/7/24,6,7,2024,0,0,60,3,1,Y
6/7/24,6/7/24,6,7,2024,0,0,60,3,2,Y
6/7/24,6/7/24,6,7,2024,0,0,60,3,3,Y
6/7/24,6/7/24,6,7,2024,0,0,60,3,4,Y
6/7/24,6/7/24,6,7,2024,0,0,60,3,5,Y
6/7/24,6/7/24,6,7,2024,0,0,60,3,6,Y
6/7/24,6/7/24,6,7,2024,0,0,60,3,7,Y
6/7/24,6/7/24,6,7,2024,0,0,60,3,8,Y
6/7/24,6/7/24,6,7,2024,0,0,60,3,9,Y
6/7/24,6/7/24,6,7,2024,0,0,60,3,10,Y
6/4/24,6/4/24,6,4,2024,0,-2.5,60,1,1,Y
6/4/24,6/4/24,6,4,2024,0,-2.5,60,1,2,Y
6/4/24,6/4/24,6,4,2024,0,-2.5,60,1,3,Y
6/4/24,6/4/24,6,4,2024,0,-2.5,60,1,4,Y
6/4/24,6/4/24,6,4,2024,0,-2.5,60,1,5,Y
